texto,sentimento
"Achei o produto excelente, chegou antes do prazo!",positivo
"O atendimento foi horrível, nunca mais volto!",negativo
"Mais ou menos, nada demais.",neutro
Estou muito feliz com o resultado!,positivo
O serviço foi péssimo e ainda atrasou,negativo
"Gostei bastante do aplicativo, muito intuitivo.",positivo
"Não resolveu meu problema, muito ruim.",negativo
"Funcionou como esperado, nada a reclamar.",neutro
"A equipe foi super atenciosa, recomendo!",positivo
"Demorou, mas no final deu certo.",neutro
O site é confuso e mal feito.,negativo
"Adorei a experiência, tudo perfeito!",positivo
"Regular, não superou minhas expectativas.",neutro
Totalmente insatisfeito com o suporte.,negativo
"Recomendo a todos, foi maravilhoso!",positivo
"Não é ruim, mas pode melhorar.",neutro
"Péssima qualidade, me arrependi da compra.",negativo
Fiquei encantado com o atendimento!,positivo
"É aceitável, mas já vi melhores.",neutro
Foi a melhor escolha que fiz esse ano!,positivo
